question,answers
"In the film Casablanca, how many times does Rick Blaine, played by Humphrey Bogart, say the words ‘Here’s looking at you kid’?",Four times
"On a standard violin, to which notes are the four strings normally tuned?",G D A E
What is the capital of Switzerland?,Bern or Berne
"What is the name of the short red cape, or piece of cloth, suspended from a hollow staff and brandished by a matador during a bullfight?",Muleta
Which former England rugby union player was nicknamed ‘Squeaky’?,Rob Andrew
In which French cathedral were the kings of France crowned until 1825?,Notre Dame de Reims
"On a clothes label, what does a square with a circle inside it indicate?",Tumble Dry
What type of leaf did US baseball player Babe Ruth wear under his cap to keep him cool?,Cabbage leaf
"In Edward Lear’s ‘The Owl and the Pussycat’, how much did they pay the pig for the ring in his nose to use as a wedding ring?",One shilling
Which English comedian’s real name is Royston Vasey?,Roy ‘Chubby’ Brown
"Pattie Boyd, George Harrison’s first wife, was cast as a schoolgirl fan in which Beatles film?",‘A Hard Day’s Night’
"‘The past is a foreign country, they do things differently there’, are the opening words to which novel?",‘The Go Between’
"In paleontology, a coprolite is fossilised what?",Animal dung
"In 2003, which UK retailer won a legal battle to advertise for employees in jobcentres?",Ann Summers
Adele Casagrande founded which Italian fashion house in 1925 in Rome?,Fendi
"In the UK, which item of furniture in the House of Commons at Westminster was originally designed by Augustus Welby Pugin in the 19th Century?",Speaker’s Chair
Under what names were Janet and John books sold in the US?,Alice and Jerry
"Mizaru, Mikazaru and Iwazaru are the names of the three what?",Wise Monkeys
"In December 2007, The Empire State Building in New York was illuminated yellow to promote which film?",‘The Simpsons Movie’
What were the first names of English novelist R.D.Blackmore?,Richard Doddridge
Which English King was known as ‘The Hammer of the Scots’?,Edward l
Which famous racehorse is buried next to the finishing post of the Aintree Racecourse?,Red Rum
"Apart from Geoff Hurst, which footballer scored a goal for England in the 1966 World Cup Final against Germany?",Martin Peters
"Who wrote the children’s stories ‘The Clangers’, ‘Noggin the Nog’ and ‘Bagpuss’?",Oliver Postgate
"In the children’s tv series, what is the name of Bob the Builder’s female business partner?",Wendy
Which British sports commentator famously said ‘He looks about as happy as a penguin in a microwave’?,Sid Waddell
What is a line on a map called that connects two points which have the same average summer temperature?,Isothere
What are the first names of David and Victoria Beckham’s daughter?,Harper Seven
Which screenwriter and novelist created the Daleks for the tv series Doctor Who?,Terry Nation
Which British scientist discovered acetylene in 1836?,Edmund Davy
Which real-life couple starred in the 1994 remake of the film ‘The Getaway’?,Alec Baldwin and Kim Basinger
Cobweb and Toolroom are Secret Service codenames for whose US office?,The Vice President
The Asteroid Belt lies between the orbits of which two planets in our solar system?,Mars and Jupiter
Which is the only species of deer of which both male and female have antlers?,Caribou (Reindeer)
Xerophagy is the eating of what?,Dry food
Who played in the Men’s Singles Finals at Wimbledon in 1980?,Bjorn Borg and John McEnroe
"Who wrote ‘The Joy of Sex’, first published in 1972?",Dr. Alex Comfort
Part of the boundary between which two US states runs down the middle of of the main street of the town of Texarkana?,Texas and Arkansas
"Which French driver won the 1996 Monaco Grand Prix, his first Formula One victory?",Olivier Panis
Who is the creator of animated characters Wallace and Gromit?,Nick Park
Which racing circuit held the 2011 British Formula One Grand Prix?,Silverstone
"In September 2011, which two countries signed a pact to end a 40 year border demarcation dispute?",India and Bangladesh
Which member of Take That replaced Simon Cowell as a judge on the British ‘X Factor’?,Gary Barlow
"Which Glasgow-based sculptor, whose works include artificial trees and a leaning litter bin, won the 2011 Turner Prize?",Martin Boyce
"Which dictator returned to Haiti in January 2011, after an absence of two decades of self-imposed exile in France?",Jean-Claude ‘Baby Doc’ Duvalier
"British actress Susannah York, who died in January 2011, was nominated for an Oscar for her portrayal of Alice LeBlanc in which 1969 film?",They Shoot Horses Don’t They?
"According to French tradition, what is Santa Claus brother called?",Bells Nichols
Who wrote the children’s book ‘The Snowman’?,Raymond Briggs
Who performed the first successful human to human heart transplant in 1967?,Dr Christiaan Barnard
Uxoricide is the killing of who?,One’s wife
What is the name of the short-sleeved midriff-baring bodice worn under a sari?,Choli
In which two US states does Monument Valley lie?,Arizona and Utah
"In the UK, ‘The Trial of the …’what’, is the procedure for ensuring that newly minted coins conform to required standards?",Pyx
Who became the youngest World Heavyweight Boxing Champion in 1956?,Floyd Patterson
Which two creatures are supporting the shield on the Australian coat of arms?,Kangaroo and emu
At which temperature do Fahrenheit and Celsius meet?,-40 degrees
What are the names of Peter Rabbit’s sisters in ‘The Tale of Peter Rabbit’ by Beatrix Potter?,"Flopsy, Mopsy, Cottontail"
Demophobia is the irrational fear of what?,Crowds
"Billy (Blue) Cannon, Wind and Ira Bean are characters in which US tv series?",High Chaparral
What was the name of the restaurant opened by Lily Savage and Loyd Grossman in the UK tv soap ‘Brookside’?,Grants Restaurant
"In the game ‘Mortal Kombat’, what phrase is heard when Scorpion uses his spear?",‘Get over here’
What is the name of the gang member that video game ‘Grand Theft Auto: San Andreas’ revolves around?,Carl ‘CJ’ Johnson
Who captained the England rugby union team in the 2011 World Cup in New Zealand?,Lewis Moody
What is it traditional for women to do on 29th February?,Propose to men
Babies born on 29th February are known as what?,Leaplings
Who wrote the short story ‘The Loneliness of the Long Distance Runner’?,Alan Sillitoe
What does ‘Habeas corpus’ translate to in English?,You have the body
Which two actors play the fire-fighting McCaffrey brothers in the 1991 film ‘Backdraft’?,Kurt Russell and William Baldwin
Cosmo Smallpiece was a character played by which English comedian?,Les Dawson
Which two countries joined the European Union on 1st January 2007?,Romania and Bulgaria
Who was the captain of Brazil’s national football team when they won the 1970 FIFA World Cup?,Carlos Alberto
Lake Geneva (or Lake Leman) lies in which two countries?,France and Switzerland
British tv ‘Dragon’ Theo Paphitis was the chairman of which London football club for eight years until 2006?,Millwall
Which two mainland European countries compete in the Six Nations Rugby Tournament?,France and Italy
Who played Bubble in the UK tv comedy series ‘Absolutely Fabulous’?,Jane Horrocks
What is the name of the colliery in the 1939 film ‘The Stars Look Down’?,Neptune Colliery
What is the name of Peter Perfect’s car in the children’s tv cartoon series ‘Wacky Races’?,Turbo Terrific
Who wrote the thriller novel ‘Birds of Prey’?,Wilbur Smith
Who played Mike Young in the Australian tv soap ‘Neighbours’?,Guy Pearce
"Which female, London-born author has younger brothers, rapper and comedian Doc Brown and rapper Luc Skyz?",Zadie Smith
"‘The Boarding House’, ‘Two Gallants’ and ‘Eveline’ are short stories from which James Joyce novel?",Dubliners
Who became quizmaster of the BBC’s ‘University Challenge’ in 1994?,Jeremy Paxman
What was the name of the horse on which jockey Richard Dunwoody won the 1986 Grand National?,West Tip
"In the human body, which bone connects the humerus with the clavicle?",Scapula (shoulder blade)
What does the Latin phrase ‘Ab hinc’ translate to in English?,From here on
Who played Blott in the 1985 British tv comedy series ‘Blott on the Landscape’?,David Suchet
The book entitled ‘The Fake’s Progress’ is about which infamous English art forger?,Tom Keating
"Invented by Dr David Warren in the 1950’s, what is the ‘Flight Data Recorder’ better known as?",The ‘Black Box’
"Which, now defunct, political party was founded by Declan Ganley in April 2009?",Libertas Ireland
What was the name of the tavern in London where the Masonic Grand Lodge of England was founded in the 18th Century?,Goose and Gridiron
"Cointreau, lemon juice and which spirit make a Sidecar cocktail?",Brandy/Cognac
"In the game of darts, what is the name of the line behind which the players stand to throw their darts?",Oche
What is the name of the jockey who won the 2011 English Grand National on Ballabriggs?,Jason Maguire
Which English actor played Pinhead in eight of the ‘Hellraiser’ series of films?,Doug Bradley
"In the nursery rhyme, ‘…who…put the kettle on?",Polly
Which actress played Sid James’ wife in the UK television series ‘Bless This House’?,Diana Coupland
Who was Prime Minister of Australia at the outbreak of World War I?,Andrew Fisher
Which two states border the US state of Florida?,Alabama and Georgia
Jenny Pitman was the trainer of which 1995 Grand National winning horse?,Royal Athlete
Which novelist won the 1993 Booker Prize for his novel ‘Paddy Clarke Ha Ha Ha’?,Roddy Doyle
"In September 1951, which three countries signed a mutual defence pact, known as the ANZUS Treaty?","Australia, New Zealand, United States"
